"id";"nome"
"1";"ATIVO"
"2";"BAIXADO"
"3";"ENCERRADO POR ACORDO"
"4";"ENCERRADO POR IMPROCEDÊNCIA"
"5";"ENCERRADO POR PAGAMENTO"
"6";"ENCERRADO POR EXTINÇÃO"
"7";"DESCREDENCIADO"
