"id";"created";"modified";"nome";"estado_id"
138;"now()";"now()";"ALTO ALEGRE";12
139;"now()";"now()";"BOA VISTA";12
140;"now()";"now()";"BONFIM";12
141;"now()";"now()";"CANTA";12
142;"now()";"now()";"CARACARAI";12
143;"now()";"now()";"CAROEBE";12
144;"now()";"now()";"IRACEMA";12
145;"now()";"now()";"MUCAJAI";12
146;"now()";"now()";"NORMANDIA";12
147;"now()";"now()";"PACARAIMA";12
148;"now()";"now()";"RORAINOPOLIS";12
149;"now()";"now()";"SAO JOAO DA BALIZA";12
150;"now()";"now()";"SAO LUIZ";12
151;"now()";"now()";"UIRAMUTA";12
152;"now()";"now()";"ABAETETUBA";15
153;"now()";"now()";"ABEL FIGUEIREDO";15
154;"now()";"now()";"ACARA";15
155;"now()";"now()";"AFUA";15
156;"now()";"now()";"AGUA AZUL DO NORTE";15
157;"now()";"now()";"ALENQUER";15
158;"now()";"now()";"ALMEIRIM";15
159;"now()";"now()";"ALTAMIRA";15
160;"now()";"now()";"ANAJAS";15
161;"now()";"now()";"ANANINDEUA";15
162;"now()";"now()";"ANAPU";15
163;"now()";"now()";"AUGUSTO CORREA";15
164;"now()";"now()";"AURORA DO PARA";15
165;"now()";"now()";"AVEIRO";15
166;"now()";"now()";"BAGRE";15
167;"now()";"now()";"BAIAO";15
168;"now()";"now()";"BANNACH";15
169;"now()";"now()";"BARCARENA";15
170;"now()";"now()";"BELEM";15
171;"now()";"now()";"BELTERRA";15
172;"now()";"now()";"BENEVIDES";15
173;"now()";"now()";"BOM JESUS DO TOCANTINS";15
174;"now()";"now()";"BONITO";15
175;"now()";"now()";"BRAGANCA";15
176;"now()";"now()";"BRASIL NOVO";15
177;"now()";"now()";"BREJO GRANDE DO ARAGUAIA";15
178;"now()";"now()";"BREU BRANCO";15
179;"now()";"now()";"BREVES";15
180;"now()";"now()";"BUJARU";15
181;"now()";"now()";"CACHOEIRA DO PIRIA";15
182;"now()";"now()";"CACHOEIRA DO ARARI";15
183;"now()";"now()";"CAMETA";15
184;"now()";"now()";"CANAA DOS CARAJAS";15
185;"now()";"now()";"CAPANEMA";15
186;"now()";"now()";"CAPITAO POCO";15
187;"now()";"now()";"CASTANHAL";15
188;"now()";"now()";"CHAVES";15
189;"now()";"now()";"COLARES";15
