id;created;nome
1;"2011-01-17 00:00:01";"EM NEGOCIAÇÃO"
2;"2011-01-17 00:00:01";"ACEITO"
3;"2011-01-17 00:00:01";"RECUSADO"
4;"2011-01-17 00:00:01";"CONTRA PROPOSTA"
