"id";"created";"nome"
114;"2010-12-28 00:00:01";"GUAXUPÉ "
115;"2010-12-28 00:00:01";"IBIÁ "
116;"2010-12-28 00:00:01";"IBIRACI "
117;"2010-12-28 00:00:01";"IBIRITÉ "
118;"2010-12-28 00:00:01";"IGARAPÉ "
119;"2010-12-28 00:00:01";"IGUATAMA "
120;"2010-12-28 00:00:01";"INHAPIM "
121;"2010-12-28 00:00:01";"IPANEMA "
122;"2010-12-28 00:00:01";"IPATINGA "
123;"2010-12-28 00:00:01";"ITABIRA "
124;"2010-12-28 00:00:01";"ITABIRITO "
125;"2010-12-28 00:00:01";"ITAGUARA "
126;"2010-12-28 00:00:01";"ITAJUBÁ "
127;"2010-12-28 00:00:01";"ITAMARANDIBA "
128;"2010-12-28 00:00:01";"ITAMBACURI "
129;"2010-12-28 00:00:01";"ITAMOJI "
130;"2010-12-28 00:00:01";"ITAMONTE "
131;"2010-12-28 00:00:01";"ITANHANDU "
132;"2010-12-28 00:00:01";"ITANHOMI "
133;"2010-12-28 00:00:01";"ITAPAJIPE "
134;"2010-12-28 00:00:01";"ITAPECERICA "
135;"2010-12-28 00:00:01";"ITAÚNA "
136;"2010-12-28 00:00:01";"ITUIUTABA "
137;"2010-12-28 00:00:01";"ITUMIRIM "
138;"2010-12-28 00:00:01";"ITURAMA "
139;"2010-12-28 00:00:01";"JABUTICATUBAS "
140;"2010-12-28 00:00:01";"JACINTO "
141;"2010-12-28 00:00:01";"JACUÍ "
142;"2010-12-28 00:00:01";"JACUTINGA "
143;"2010-12-28 00:00:01";"JANAÚBA "
144;"2010-12-28 00:00:01";"JANUÁRIA "
145;"2010-12-28 00:00:01";"JEQUERI "
146;"2010-12-28 00:00:01";"JEQUITINHONHA "
147;"2010-12-28 00:00:01";"JOÃO MONLEVADE "
148;"2010-12-28 00:00:01";"JOÃO PINHEIRO "
149;"2010-12-28 00:00:01";"JUIZ DE FORA "
150;"2010-12-28 00:00:01";"LAGOA DA PRATA "
151;"2010-12-28 00:00:01";"LAGOA SANTA "
152;"2010-12-28 00:00:01";"LAJINHA "
153;"2010-12-28 00:00:01";"LAMBARI "
154;"2010-12-28 00:00:01";"LAVRAS "
155;"2010-12-28 00:00:01";"LEOPOLDINA "
156;"2010-12-28 00:00:01";"LIMA DUARTE "
157;"2010-12-28 00:00:01";"LUZ "
158;"2010-12-28 00:00:01";"MACHADO "
